text,final_sentiment
"['makan', 'propaganda', 'zionis', 'rilis', 'statement', 'palsu', 'jual', 'turun', 'imbas', 'mas', 'beli', 'literasi', 'portal', 'berita', 'berita', 'mcdonalds', 'sumbang', 'makan', 'tentara', 'israel', 'bukti', 'kuat', 'postingan', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['boikot', 'mcdonaldsi', 'dampak', 'buruk', 'ajar', 'parttime', 'paksa', 'tutup']",-1
"['mcdonalds', 'rasa', 'pls', 'kompak', 'efek', 'mcdonalds', 'boikot', 'boikot']",1
"['boikot', 'mcdonaldsi', 'kontraproduktif', 'usaha', 'franchise', 'alam', 'rugi']",-1
"['wkwkwkw', 'boikot', 'dih', 'rasa', 'kompak', 'boikot', 'mcdonalds', 'efek']",1
"['dampak', 'boikot', 'mcdonaldsi', 'rugi', 'supplier', 'lokal', 'gerak', 'boikot', 'efektif']",-1
"['admin', 'akun', 'follow', 'ingat', 'hapus', 'postingan', 'misleading', 'mcdonalds', 'hindarin', 'alhamdulillah', 'hapus', 'ganti', 'post', 'remind', 'ingat', 'pakai', 'bahasa', 'ambil', 'sempat', 'utak', 'hate', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['persis', 'kayak', 'fandom', 'enggak', 'kamuaren', 'collab', 'mcdonalds', 'jugan', 'diup', 'base', 'biar', 'postnya', 'rame', 'spil', 'base', 'repnya', 'ngomelin', 'agens', 'kasihan', 'bias', 'kalauo', 'idol', 'konsum', 'produk', 'boikot', 'knceng', 'ngebullynya', 'tertawa', 'sadar', 'dukung', 'produk', 'lokal']",1
"['bts', 'kali', 'mcdonalds', 'kan', 'member', 'muntidakin', 'seru', 'beli', 'tapi', 'leader', 'genius', 'up', 'slide', 'hipokrit']",-1
"['ubah', 'boikot', 'mcdonalds', 'mcdonalds', 'boikot', 'ayo', 'phk', 'wajar', 'netral', 'diboykotgtomset', 'indonesia', 'turun', 'statementnya', 'drastisgtpegawai', 'indonesia', 'tanya', 'salah', 'btw', 'mcdonalds']",1
"['rugi', 'boikot', 'kerja', 'paruh', 'akibat', 'dampak', 'ekonomi', 'luas']",-1
"['susah', 'konflik', 'orang']",-1
"['nolak', 'boikot', 'tangis', 'anjing', 'muntidakin', 'dikorea', 'ttd', 'sih', 'kok', 'gede', 'konantiak', 'demo', 'kntol', 'notice', 'produk', 'agens', 'kaya', 'sbux', 'mcdonalds', 'tangan', 'bilang', 'idol', 'kalauo', 'susah', 'isu']",1
"['enggak', 'duli', 'makan', 'mcd']",-1
"['boikot', 'mcdonaldsi', 'kontraproduktif', 'supplier', 'lokal', 'alam', 'turun']",-1
"['tutup', 'mata', 'rata', 'proisriwil', 'sampai', 'negara', 'jadi', 'tameng', 'tutup', 'silap', 'tae', 'enak', 'jidat', 'pakai', 'negara', 'tameng', 'sedanenggkan', 'mayoritas', 'rakayaat', 'negara', 'ku', 'hindarin', 'mcdonalds', 'sampai', 'ih', 'sumpah', 'sebel', 'hipokrit']",-1
"['bagaimana', 'kalo', 'enggak', 'dukung', 'israel']",-1
"['arab', 'saudi', 'cuek', 'larang', 'warga', 'caci', 'israel', 'beli', 'umroh']",-1
"['gerak', 'boikot', 'ekonomi', 'daerah', 'alam', 'rugi']",-1
"['boikot', 'mcdonaldsi', 'dampak', 'buruk', 'karyawan', 'dampak', 'negatif']",-1
"['tenan', 'terangngan', 'capek', 'nepotisamae', 'mcdonalds', 'bayar', 'korup', 'tipu', 'kompak', 'efek', 'orang', 'enggak', 'mana', 'enggak', 'terus', 'ya', 'ayo', 'rasa', 'kagak', 'pelan', 'tipu', 'koleksi', 'boikot', 'maju', 'indonesia', 'asu', 'bayar', 'htetapstcopbfcudahqi', 'mogok', 'dimatiin', 'pajak', 'boikot', 'kalau']",1
"['beli', 'sih', 'mcdonalds', 'starbucks', 'tonton', 'disneymarvel', 'htetapstcoozlimmovh']",-1
"['makan', 'sampai', 'langit', 'mancing', 'pijak', 'sila', 'boikot', 'kompak', 'iya', 'urus', 'sih', 'iya', 'atau', 'mcdonalds', 'efek', 'hidup', 'boikotin', 'dengan', 'bumi', 'diposting', 'situ', 'mcdonalds', 'naini', 'ikut', 'enggak', 'bisa', 'mana', 'rasa', 'junjung', 'iya', 'pintar']",1
"['kemarin', 'sore', 'obrol', 'obrol', 'anak', 'kantor', 'most', 'of', 'them', 'boikot', 'bilang', 'kangen', 'makan', 'mcdonalds', 'beli', 'kasihan', 'orang', 'orang', 'kerja', 'usaha', 'sebut', 'alas', 'utama', 'tahan', 'nafsu', 'makan', 'sih', 'sadar', 'dukung', 'produk', 'lokal']",1
"['ikalauan', 'produk', 'boikot', 'anak', 'kerjasama', 'dukung', 'lokal', 'kayak', 'mcdonalds', 'fokus', 'rasa', 'sadar', 'aneh', 'bintangbuck']",1
"['boikot', 'eurovisin', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['sih', 'main', 'sosamaed', 'teman', 'post', 'mcdsbux', 'teman', 'teman', 'suara', 'aksi', 'boikot', 'iya', 'pilih', 'tetap', 'peduli', 'anjir']",1
"['ekonomi', 'daerah', 'korban', 'utama', 'gerak', 'boikot', 'efektif']",-1
"['dibkritik', 'suara', 'mah', 'mcdonalds', 'tae', 'tae', 'member', 'iya', 'boikot', 'suka', 'adidas', 'ayo', 'hindarin', 'adil', 'tuju', 'mcdonalds', 'coca', 'tae', 'ubah', 'begini', 'masuk', 'sumpah', 'gue', 'cola', 'terima']",-1
"['berita', 'biased', 'hipokrit']",-1
"['saja', 'antri', 'mcdonalds', 'ramai']",-1
"['produk', 'ayam', 'nih', 'sudah', 'jalan', 'boikot', 'mcdonalds', 'pinggir', 'masih', 'dukung', 'lokal', 'enak', 'sadar']",-1
"['henti', 'bicara', 'palestina', 'terus', 'beli', 'dukung', 'zionis']",1
"['lokal', 'stabil', 'produk', 'mcdonalds', 'mcdonalds', 'gerak', 'boikot', 'israel', 'stop', 'gerak', 'stop', 'boikot', 'mcdonalds', 'kecam', 'pasok', 'dukung', 'mcdonalds', 'produk', 'peran', 'israel', 'sadar', 'pasok', 'beli']",1
"['ubah', 'mcdonalds', 'kbanyakan', 'enih', 'mcdonalds', 'jarang', 'boikot', 'ayo', 'kayaakny', 'bahas', 'bahas', 'boikot', 'canva']",1
"['dih', 'wkwkwkw', 'boikot']",1
"['gara', 'produk', 'sampai', 'up', 'dukung', 'kenapa', 'iya', 'hormat', 'harga', 'makan', 'sadar', 'restoran', 'benci', 'ri', 'segitu', 'larang', 'amp', 'salah', 'cari', 'orang', 'palestina', 'lokal', 'amp', 'boikot', 'hah']",1
"['boikot', 'mcdonaldsi', 'kontraproduktif', 'lapang', 'kerja', 'ancam', 'phk']",-1
"['but', 'stil', 'ramai', 'isu', 'gaza', 'xpenting', 'takda', 'usaha', 'nk', 'boikot', 'sok', 'sad']",1
"['tuju', 'boikot', 'kerja', 'paruh', 'sulit', 'uang']",-1
"['jujur', 'ya', 'sbux', 'dihilangin', 'dampak', 'gerak', 'list', 'gerak', 'oranganik', 'masyarakat', 'boikot', 'sbux', 'mcdonalds', 'iya']",1
"['wtf', 'serius', 'anak', 'hey', 'genosida', 'army', 'donasi', 'palestina', 'mcdonalds', 'boikotin', 'btw', 'posting', 'support', 'palestina', 'stop', 'making', 'stupid', 'people', 'denial', 'and', 'tone', 'deaf']",1
"['boikot', 'mcdonaldsi', 'dampak', 'buruk', 'kerja', 'lokal', 'paksa', 'tutup']",-1
"['enggak', 'ngaruh', 'mcdonalds', 'laris']",-1
"['rugi', 'boikot', 'kerja', 'paruh', 'akibat', 'turun', 'omzet']",-1
"['kaya', 'islam', 'enggak', 'erti', 'konsep', 'franchise']",-1
"['boikot', 'mcdonaldsi', 'kontraproduktif', 'ajar', 'parttime', 'sulit', 'uang']",-1
"['babi', 'burger', 'itu', 'beli', 'je', 'sen', 'sumbang', 'sih', 'mcdonalds', 'banding', 'intel', 'iphone', 'macobaook', 'menjana', 'ekonomi', 'israel', 'itu', 'nak', 'boikot', 'itu', 'kena', 'boikoit', 'takat', 'mcdonalds', 'ramai', 'orang', 'tempat', 'keje', 'itu', 'beli', 'je']",-1
"['mcdonalds', 'doang', 'enggak', 'usah', 'lebay', 'boikot']",-1
"['iya', 'kelakar', 'and', 'kalauo', 'macam', 'nk', 'pki', 'mcdonalds', 'statement', 'kali', 'jtidak', 'dorang', 'release', 'statement', 'nih', 'lps', 'kena', 'kaw', 'boikotin', 'and', 'after', 'nih', 'release', 'stil', 'boikotin', 'hahaah', 'kali', 'phm', 'lah', 'pekat', 'sangat', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['kerja', 'lokal', 'korban', 'utama', 'dampak', 'ekonomi', 'luas']",-1
"['sial', 'kau', 'nih', 'orang', 'nak', 'paling', 'palestin', 'kau', 'nak', 'kutuk', 'suka', 'zionist', 'bunuh', 'warga', 'gaza', 'itu', 'kau', 'nih', 'mesti', 'jenis', 'kutuk', 'orang', 'beli', 'mcdonalds', 'starbucks', 'itu', 'sadar', 'dukung', 'produk', 'lokal']",-1
"['boikot', 'mcdonaldsi', 'kontraproduktif', 'supplier', 'lokal', 'alam', 'rugi']",-1
"['sumbang', 'mcdonalds', 'israel', 'doang', 'lokal', 'mcdonalds', 'israel', 'langsung', 'beli', 'mcdonalds', 'global', 'biar', 'jadi', 'ulang', 'salah', 'alamat', 'beli', 'global', 'bukti', 'sumbang', 'burger', 'king', 'domino', 'pizza', 'hut', 'dl', 'israel', 'makan', 'dosa', 'fitnah']",-1
"['boikot', 'sbux', 'mac', 'android', 'pakai', 'matiin', 'ayo', 'hari', 'ubah', 'produk', 'boikot', 'mcdonalds', 'coba', 'windows', 'kerja', 'beda', 'hp', 'suruh', 'ios', 'orang', 'mcdonalds', 'indonesia', 'rasa', 'pakai', 'matiin']",1
"['mcdonalds', 'efek', 'kompak', 'mcdonalds', 'sila', 'iya', 'boikot', 'rasa', 'boikot', 'reason', 'nganggap', 'enough', 'boikot']",1
"['iya', 'boikotin', 'begitu', 'efek', 'mcdonalds', 'efek', 'mcdonalds', 'turun', 'jual', 'agresi', 'henti', 'kurang', 'parah', 'boikotin', 'sukses', 'menghentikanmenurunkan', 'untung', 'brand', 'boikot', 'htetapstcoyyankqoyo']",1
"['iya', 'post', 'mcdonalds', 'starbuck', 'orang', 'anything', 'boikot', 'kudu', 'edukasi', 'yaelah', 'bray', 'hidup', 'zaman', 'apes', 'internet', 'sono', 'kencang', 'demo', 'nyuarain', 'palestine', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['lu', 'lupa', 'iya', 'un', 'pas', 'ngetwit', 'beli', 'anggap', 'rugi', 'usaha', 'karyawan', 'lokal', 'kerja', 'mcdonalds', 'dsb', 'sosoan', 'kata', 'orang', 'makan', 'mcdonalds', 'munafik', 'orang', 'sih', 'onggok', 'engangement', 'pandji', 'man', 'cut', 'that', 'stupid', 'shit', 'sadar', 'dukung', 'produk', 'lokal']",-1
"['rugi', 'boikot', 'lapang', 'kerja', 'akibat', 'kurang', 'langgan']",-1
"['boikot', 'mcdonaldsi', 'kontraproduktif', 'laku', 'umkm', 'dampak', 'negatif']",-1
"['ayo', 'nder', 'mcdonalds', 'hindarin', 'mikir', 'sempit', 'ubah', 'dampak', 'sampai', 'jantidakauan', 'caper', 'internet', 'boikot']",1
"['konantiibusi', 'sadar', 'beli', 'produk', 'heboh', 'sudah', 'hut', 'zionis', 'gadget', 'pro', 'starbuck', 'kfc', 'pizza', 'sosamaed', 'brand', 'brand', 'dukung', 'lokal', 'mcdonalds', 'loreal']",-1
"['mikir', 'caper', 'nder', 'sempit', 'jangaauan', 'internet', 'sampai', 'dampak', 'boikot', 'sadar', 'dukung', 'produk', 'lokal']",1
"['boikot', 'eurovisin', 'htetapstcowhlxumw', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['dengar', 'mcdonalds', 'sudah', 'jangan', 'beli', 'semenjak', 'kasus', 'ngepost', 'tiktok', 'rame', 'fandom', 'omong', 'mcdonalds', 'bebas', 'beli', 'sudah', 'confirm', 'kayak', 'lupa', 'kah', 'kasih', 'makan', 'tentara', 'isriwil', 'habis', 'ngebom', 'ngebom', 'palestina', 'tetap', 'sakit', 'hati', 'anjira']",-1
"['anti', 'diboykot', 'ayo', 'nya', 'peluru', 'china', 'boikot', 'mcdonalds', 'rompi', 'indonesia', 'mcdonalds', 'hp', 'ken', 'china', 'tenaga', 'nya', 'diphk', 'pro', 'boikot', 'israel', 'pakai', 'barang', 'ubah', 'kasihan', 'tanggung', 'rugi', 'buang', 'kirim', 'kerja', 'nya', 'boikot', 'mcdonalds']",1
"['beli', 'je', 'roti', 'mcdonalds', 'itu', 'haram', 'nak', 'support', 'palestine', 'beli', 'mcdonalds', 'beli', 'lah', 'apple', 'product', 'bende', 'tinggal', 'beli', 'bang', 'kesan', 'mental', 'paksa', 'beli', 'beli', 'je']",-1
"['patut', 'gaduh', 'hindarin', 'prk', 'kkb', 'sok', 'nak', 'cerai', 'talak', 'htetapstcohnwfenuqe', 'mcdonalds', 'rasa', 'efek', 'kompak', 'boikot']",1
"['lagi', 'fokus', 'diributin', 'tanyarl', 'masif', 'boicot', 'zara', 'mcdonalds', 'starbucks', 'gbisa', 'sekali', 'drag', 'samaua', 'jadi', 'alih', 'boicot', 'fokus', 'sisa', 'gmsuk', 'list', 'boicot', 'fokus', 'tapi', 'masuk', 'list', 'boikot', 'hendakalauah', 'guna', 'harus', 'kurang', 'bolak', 'balek', 'masuk', 'menfes']",1
"['dengan', 'sokong', 'minum', 'israel', 'ayo', 'barang', 'mati', 'sebut', 'matter', 'khusus', 'mati', 'list', 'tolong', 'hadap', 'makan', 'muslimin', 'things', 'muslimin', 'amp', 'gaza', 'boikot', 'pakai', 'samaal', 'boikot', 'manggil', 'brand', 'mcdonalds', 'iya', 'ahlal', 'mcdga', 'starbucksga', 'ubah', 'saudara', 'islam']",1
"['boikot', 'mcdonaldsi', 'dampak', 'buruk', 'ajar', 'parttime', 'dampak', 'negatif']",-1
"['gerak', 'boikot', 'ajar', 'parttime', 'alam', 'rugi']",-1
"['sedih', 'bangsal', 'abhikale', 'udahan', 'what', 'if', 'mcdonalds', 'beli', 'bjir', 'please', 'mending', 'baca', 'au', 'kak', 'bel', 'user', 'user', 'tertawa', 'tengs', 'promote', 'nya', 'mint', 'htetapstconfdboovsft', 'hipokrit']",-1
"['rugi', 'boikot', 'ajar', 'parttime', 'akibat', 'turun', 'produktivitas']",-1
"['mcdonalds', 'anjir', 'anantiianya', 'rasa', 'kayak', 'indonesia', 'boikot', 'bts', 'kompak', 'benar', 'mcdonalds', 'efek', 'ba', 'boikotin']",1
"['mekdionalds', 'id', 'haram', 'gua', 'makan', 'mcdonalds', 'bantai', 'muslim', 'boikot', 'anjing', 'mcdonalds', 'rasa', 'efek', 'kompak', 'boikot']",1
"['iya', 'hapus', 'tetap', 'boikot', 'mcdonalds', 'laku', 'salah', 'moga', 'tunjuk', 'htetapstcodbwkbpa', 'sadar', 'dukung', 'produk', 'lokal']",1
"['lek', 'twitter', 'dotory', 'bahas', 'palestina', 'tone', 'deaf', 'awerenes', 'tambah', 'korea', 'erti', 'palestina', 'israel', 'hindarin', 'mcdonalds', 'korea', 'tau', 'benar', 'sadar', 'dukung', 'produk', 'lokal']",1
"['mohon', 'maaf', 'mah', 'maaaf', 'boikot', 'mcdonalds', 'starbak', 'dl', 'bebas', 'deh', 'ngjahilin', 'kerja', 'kayak', 'begini', 'mereka', 'kerja', 'loh', 'etis', 'begitu', 'sadar', 'dukung', 'produk', 'lokal']",1
"['ayo', 'mcdonalds', 'standar', 'boikot', 'youtube', 'ganda', 'dukung', 'plstn', 'ubah', 'boikot', 'menguntidakapkan', 'kali', 'dl', 'alas']",1
"['efek', 'sayang', 'gempita', 'mcdonalds', 'gegap', 'kompak', 'boikot', 'makan', 'boikot', 'hasil', 'rasa', 'barang', 'boikot']",1
"['orang', 'nolak', 'sedih', 'sih', 'ditawarin', 'starbak', 'mcdonalds', 'alhamdulillah', 'bilang', 'iya', 'boikot', 'mcdonalds', 'rasa', 'efek', 'kompak', 'boikot']",1
"['rugi', 'boikot', 'ajar', 'parttime', 'akibat', 'turun', 'produktivitas']",-1
"['bisa', 'buka', 'pikir', 'orang', 'aksi', 'boikotin', 'israel', 'punya', 'power', 'kuat', 'bhkan', 'utak', 'usaha', 'wilayah', 'jual', 'internasional', 'utak', 'usaha', 'kerja', 'wilayah', 'israel', 'mcdonalds', 'israel', 'munenggain', 'dipakasa', 'dukung', 'mcdonalds', 'rasa', 'efek', 'kompak', 'boikot']",1
"['sumpah', 'sadar', 'sih', 'jadi', 'taehyung', 'posting', 'mcdonalds', 'rame', 'nih', 'suarain', 'boikotin', 'mcdonalds', 'tetiba', 'jm', 'tulis', 'hatihati', 'sns', 'kaya', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['utak', 'indonesia', 'hapus', 'petisi', 'nutup', 'produk', 'ajuin', 'kalauo', 'mcdonalds', 'daripada', 'sadar', 'postingan', 'nya', 'presiden', 'boikot', 'dukung', 'tae', 'dampak', 'lokal', 'sih']",1
"['gerak', 'boikot', 'lapang', 'kerja', 'dampak', 'negatif']",-1
"['cmo', 'que', 'no', 'iya', 'no', 'quiero', 'ir', 'mcdonalds', 'htetapstcovfacxhi', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['dilist', 'boikot', 'kak', 'orang', 'maxwel', 'coc', 'goreng', 'hbisaan', 'warga', 'kali', 'perkara', 'mcdonalds', 'juga']",1
"['makan', 'mcdonalds', 'hak', 'posting', 'makan', 'mcdonalds', 'boikot', 'mean', 'ayo', 'buka', 'mata', 'public', 'figure', 'laku', 'ngeinfluence', 'orang', 'utak', 'laku', 'dicancel', 'mcdonalds', 'rasa', 'efek', 'kompak', 'boikot']",1
"['heran', 'baca', 'berita', 'sumber', 'mcdonalds', 'masuk', 'list', 'memboikotin', 'inter', 'lagibds', 'indonesia', 'ngadi', 'mcdonalds', 'info', 'donasi', 'palestina', 'ayo', 'boikot', 'mcdonalds', 'ubah']",1
"['sampai', 'gumoh', 'kak', 'komen', 'tiktok', 'percaya', 'mcdonalds', 'hindarin', 'hadeeeh', 'mcdonalds', 'rasa', 'efek', 'kompak', 'boikot']",1
"['mcdonalds', 'cuma', 'kenal', 'starbucks', 'doh', 'israel', 'benda', 'since', 'october', 'lepas', 'kesedaran', 'makan', 'itu', 'kesedaran', 'itu', 'support', 'hindarin', 'hindarin', 'besar', 'kawan']",-1
"['sadar', 'boikot', 'kena', 'produk', 'htetapstcosdkinrstz', 'sasar', 'lokal', 'ton', 'si', 'dukung', 'jack']",1
"['tapi', 'richeese', 'fore', 'luwh', 'bangor', 'point', 'crisbar', 'nangor', 'boikot', 'orang', 'agr', 'saja', 'boikot', 'mcdonalds', 'topychick', 'gampang', 'caper', 'jhouse', 'starbucks', 'krenchise', 'masih', 'boikot']",1
"['salah', 'makan']",-1
"['kak', 'ingat', 'produk', 'poin', 'bully', 'karena', 'boikot', 'sih', 'yeah', 'mcdonalds', 'bantu', 'makan', 'bantu', 'lokal', 'iya', 'karena', 'korban', 'benar', 'keras', 'ngehate', 'dukung', 'gua', 'sadar', 'bantu']",-1
"['boikot', 'mcdonaldsi', 'kontraproduktif', 'ajar', 'parttime', 'alam', 'turun']",-1
"['terangterangan', 'sedantidakan', 'disney', 'donasi', 'sih', 'lokal', 'produk', 'palestina', 'terangterangan', 'mcdonalds', 'dukung', 'hindarin', 'pitidakook', 'disney', 'israel', 'sadar', 'dukung', 'konten']",1
"['enggak', 'masuk', 'akal', 'opini', 'boikot', 'sembarang']",-1
"['boikot', 'mcdonaldsi', 'kontraproduktif', 'supplier', 'lokal', 'alam', 'turun']",-1
"['begini', 'lu', 'beli', 'mcdonalds', 'kepci', 'apa', 'kait', 'israhel', 'peduli', 'orang', 'boleh', 'anjuga', 'post', 'bgst', 'seakanakan', 'memberitahu', 'nih', 'gue', 'beli', 'mcdonalds', 'cuy', 'konsumsi', 'boikotin', 'boikot', 'cuih', 'sadar', 'dukung', 'produk', 'lokal']",-1
"['ayam', 'mcdonalds', 'itu', 'beli', 'nih', 'harap', 'makalauum', 'saja', 'sadar', 'dukung', 'produk', 'lokal']",-1
"['serius', 'aksi', 'beli', 'indonesia', 'maybe', 'gua', 'tinggal', 'spore', 'orang', 'orang', 'muslim', 'makan', 'mcdonalds', 'orang', 'malay', 'india', 'turki', 'kerja', 'nya', 'muslim', 'dengar', 'iya', 'fokus', 'naikin', 'hati', 'nya', 'hate', 'komentar']",-1
